entity,code,year,nuclear_share_pct
Belgium,BEL,2000,58.2
Belgium,BEL,2001,58.9
Belgium,BEL,2002,58.5
Belgium,BEL,2003,56.7
Belgium,BEL,2004,57.1
Belgium,BEL,2005,56.4
Belgium,BEL,2006,56.0
Belgium,BEL,2007,55.6
Belgium,BEL,2008,54.9
Belgium,BEL,2009,52.6
Belgium,BEL,2010,51.5
Belgium,BEL,2011,54.0
Belgium,BEL,2012,49.4
Belgium,BEL,2013,52.0
Belgium,BEL,2014,47.3
Belgium,BEL,2015,38.1
Belgium,BEL,2016,51.6
Belgium,BEL,2017,49.5
Belgium,BEL,2018,38.7
Belgium,BEL,2019,47.0
Belgium,BEL,2020,39.0
Belgium,BEL,2021,50.6
Belgium,BEL,2022,46.5
Belgium,BEL,2023,40.1
Belgium,BEL,2024,41.1
China,CHN,2000,1.2
China,CHN,2001,1.2
China,CHN,2002,1.5
China,CHN,2003,2.3
China,CHN,2004,2.3
China,CHN,2005,2.1
China,CHN,2006,1.9
China,CHN,2007,1.9
China,CHN,2008,2.0
China,CHN,2009,1.9
China,CHN,2010,1.8
China,CHN,2011,1.9
China,CHN,2012,2.0
China,CHN,2013,2.1
China,CHN,2014,2.3
China,CHN,2015,2.9
China,CHN,2016,3.5
China,CHN,2017,3.8
China,CHN,2018,4.1
China,CHN,2019,4.6
China,CHN,2020,4.7
China,CHN,2021,4.8
China,CHN,2022,4.7
China,CHN,2023,4.6
China,CHN,2024,4.5
Finland,FIN,2000,32.1
Finland,FIN,2001,30.6
Finland,FIN,2002,29.8
Finland,FIN,2003,27.0
Finland,FIN,2004,26.5
Finland,FIN,2005,33.0
Finland,FIN,2006,27.8
Finland,FIN,2007,28.9
Finland,FIN,2008,29.7
Finland,FIN,2009,32.7
Finland,FIN,2010,28.3
Finland,FIN,2011,31.6
Finland,FIN,2012,32.7
Finland,FIN,2013,33.1
Finland,FIN,2014,34.6
Finland,FIN,2015,33.9
Finland,FIN,2016,33.7
Finland,FIN,2017,33.3
Finland,FIN,2018,32.5
Finland,FIN,2019,34.8
Finland,FIN,2020,33.6
Finland,FIN,2021,32.7
Finland,FIN,2022,35.1
Finland,FIN,2023,42.3
Finland,FIN,2024,39.7
France,FRA,2000,78.0
France,FRA,2001,77.6
France,FRA,2002,79.2
France,FRA,2003,78.9
France,FRA,2004,79.2
France,FRA,2005,79.3
France,FRA,2006,79.4
France,FRA,2007,78.3
France,FRA,2008,77.5
France,FRA,2009,77.5
France,FRA,2010,76.2
France,FRA,2011,77.9
France,FRA,2012,75.0
France,FRA,2013,73.5
France,FRA,2014,77.1
France,FRA,2015,76.2
France,FRA,2016,72.1
France,FRA,2017,71.7
France,FRA,2018,71.7
France,FRA,2019,70.6
France,FRA,2020,67.1
France,FRA,2021,68.9
France,FRA,2022,62.9
France,FRA,2023,65.4
France,FRA,2024,67.9
Germany,DEU,2000,29.8
Germany,DEU,2001,29.6
Germany,DEU,2002,28.2
Germany,DEU,2003,27.4
Germany,DEU,2004,27.4
Germany,DEU,2005,26.6
Germany,DEU,2006,26.5
Germany,DEU,2007,22.3
Germany,DEU,2008,23.5
Germany,DEU,2009,22.9
Germany,DEU,2010,22.5
Germany,DEU,2011,17.8
Germany,DEU,2012,16.0
Germany,DEU,2013,15.5
Germany,DEU,2014,15.7
Germany,DEU,2015,14.4
Germany,DEU,2016,13.2
Germany,DEU,2017,11.8
Germany,DEU,2018,12.0
Germany,DEU,2019,12.5
Germany,DEU,2020,11.4
Germany,DEU,2021,11.9
Germany,DEU,2022,6.1
Germany,DEU,2023,1.4
Germany,DEU,2024,0.0
Japan,JPN,2000,29.0
Japan,JPN,2001,29.6
Japan,JPN,2002,28.5
Japan,JPN,2003,21.1
Japan,JPN,2004,25.5
Japan,JPN,2005,25.4
Japan,JPN,2006,26.1
Japan,JPN,2007,23.6
Japan,JPN,2008,21.3
Japan,JPN,2009,24.7
Japan,JPN,2010,25.3
Japan,JPN,2011,14.8
Japan,JPN,2012,1.6
Japan,JPN,2013,1.3
Japan,JPN,2014,0.0
Japan,JPN,2015,0.4
Japan,JPN,2016,1.7
Japan,JPN,2017,2.7
Japan,JPN,2018,4.5
Japan,JPN,2019,6.3
Japan,JPN,2020,4.3
Japan,JPN,2021,5.9
Japan,JPN,2022,5.0
Japan,JPN,2023,7.7
Japan,JPN,2024,8.4
South Korea,KOR,2000,37.5
South Korea,KOR,2001,36.2
South Korea,KOR,2002,35.9
South Korea,KOR,2003,37.3
South Korea,KOR,2004,35.5
